t,u0,u1,y0,y1,yT0,yT1
0,1,0,0,0,1.9997e-05,1.9638e-05
0.002,1,0,9.9301e-08,7.2437e-10,3.9481e-06,4.9055e-05
0.004,1,0,3.9441e-07,5.723e-09,7.9861e-06,1.965e-05
0.006,1,0,8.8116e-07,1.9072e-08,1.1704e-07,-3.0431e-05
0.008,1,0,1.5554e-06,4.4629e-08,3.4095e-07,-3.0121e-05
0.01,1,0,2.4129e-06,8.6034e-08,-5.1165e-06,-3.3763e-05
0.012,1,0,3.4497e-06,1.4671e-07,-6.5517e-05,-1.1829e-07
0.014,1,0,4.6616e-06,2.2986e-07,-3.1225e-05,-1.3752e-07
0.016,1,0,6.0446e-06,3.3848e-07,-2.0514e-07,1.7118e-06
0.018,1,0,7.5945e-06,4.7534e-07,2.928e-05,7.8906e-06
0.02,1,0,9.3074e-06,6.4299e-07,1.4046e-05,5.6286e-06
0.022,1,0,1.1179e-05,8.438e-07,-1.8507e-07,-6.1957e-06
0.024,1,0,1.3206e-05,1.0799e-06,4.8044e-06,-3.8636e-05
0.026,1,0,1.5383e-05,1.3532e-06,-1.5422e-05,-1.6047e-05
0.028,1,0,1.7708e-05,1.6655e-06,2.2114e-05,-7.2277e-07
0.03,1,0,2.0176e-05,2.0184e-06,2.4093e-05,-2.9675e-05
0.032,1,0,2.2782e-05,2.413e-06,1.5939e-06,-1.4585e-05
0.034,1,0,2.5524e-05,2.8507e-06,3.8448e-05,-2.2999e-05
0.036,1,0,2.8398e-05,3.3324e-06,-1.4833e-06,-4.0631e-05
0.038,1,0,3.1399e-05,3.8589e-06,1.2189e-05,-1.6735e-06
0.04,1,0,3.4523e-05,4.4308e-06,9.1494e-05,-9.0052e-06
0.042,1,0,3.7767e-05,5.0486e-06,2.9138e-05,-1.8757e-05
0.044,1,0,4.1128e-05,5.7125e-06,-4.2176e-05,7.9042e-07
0.046,1,0,4.46e-05,6.4228e-06,5.2154e-06,-1.9966e-05
0.048,1,0,4.8181e-05,7.1793e-06,2.6617e-07,1.1129e-05
0.05,1,0,5.1867e-05,7.9819e-06,3.3642e-05,-2.5761e-06
0.052,1,0,5.5654e-05,8.8304e-06,-1.7362e-05,5.8973e-06
0.054,1,0,5.9538e-05,9.7242e-06,4.561e-05,-4.6445e-05
0.056,1,0,6.3516e-05,1.0663e-05,4.9798e-05,-4.0807e-05
0.058,1,0,6.7585e-05,1.1646e-05,0.00012941,6.6673e-06
0.06,1,0,7.1739e-05,1.2672e-05,8.8313e-05,2.9673e-05
0.062,1,0,7.5977e-05,1.374e-05,0.00015173,4.1959e-05
0.064,1,0,8.0294e-05,1.485e-05,8.8763e-05,7.1127e-05
0.066,1,0,8.4686e-05,1.6e-05,-6.9277e-05,3.1264e-05
0.068,1,0,8.9151e-05,1.719e-05,-4.4111e-05,2.1723e-05
0.07,1,0,9.3685e-05,1.8417e-05,1.9387e-05,4.8805e-05
0.072,1,0,9.8284e-05,1.968e-05,6.291e-05,1.7008e-07
0.074,1,0,0.00010294,2.0979e-05,0.00019658,1.1096e-05
0.076,1,0,0.00010766,2.2311e-05,1.9738e-05,-2.9351e-05
0.078,1,0,0.00011244,2.3675e-05,4.1368e-05,2.4543e-05
0.08,1,0,0.00011726,2.5069e-05,0.00012712,-1.1156e-05
0.082,1,0,0.00012214,2.6492e-05,5.1048e-05,2.5906e-05
0.084,1,0,0.00012706,2.7942e-05,-3.1257e-05,6.6259e-05
0.086,1,0,0.00013202,2.9417e-05,4.5327e-05,1.9078e-05
0.088,1,0,0.00013702,3.0916e-05,4.077e-05,3.852e-05
0.09,1,0,0.00014205,3.2435e-05,0.0002562,2.2588e-06
0.092,1,0,0.00014712,3.3975e-05,0.00016211,4.8846e-05
0.094,1,0,0.00015221,3.5533e-05,0.00025657,9.2852e-05
0.096,1,0,0.00015733,3.7106e-05,8.4654e-05,6.8349e-06
0.098,1,0,0.00016248,3.8694e-05,0.00050597,-8.8053e-06
0.1,1,0,0.00016764,4.0293e-05,0.00018565,1.3403e-05
0.102,1,0,0.00017282,4.1903e-05,1.5725e-05,8.5516e-05
0.104,1,0,0.00017801,4.3522e-05,-5.7613e-05,2.6913e-05
0.106,1,0,0.00018322,4.5147e-05,0.00017458,4.2329e-05
0.108,1,0,0.00018843,4.6776e-05,0.00012289,-3.3489e-05
0.11,1,0,0.00019364,4.8409e-05,-7.6669e-05,1.1713e-05
0.112,1,0,0.00019886,5.0042e-05,9.7543e-05,2.1202e-05
0.114,1,0,0.00020408,5.1675e-05,-0.00012378,-2.3576e-05
0.116,1,0,0.00020929,5.3304e-05,0.00035069,7.5946e-05
0.118,1,0,0.0002145,5.493e-05,0.0005379,6.1606e-05
0.12,1,0,0.0002197,5.6549e-05,0.00035356,-2.5671e-05
0.122,1,0,0.00022488,5.816e-05,0.00017055,7.7592e-05
0.124,1,0,0.00023006,5.9762e-05,0.00052899,2.3611e-06
0.126,1,0,0.00023521,6.1352e-05,0.00029588,1.8991e-05
0.128,1,0,0.00024035,6.293e-05,-0.0002903,7.2781e-05
0.13,1,0,0.00024546,6.4493e-05,0.00019826,0.00017333
0.132,1,0,0.00025055,6.604e-05,0.00026441,5.971e-05
0.134,1,0,0.00025561,6.757e-05,0.00041166,2.1456e-05
0.136,1,0,0.00026064,6.9081e-05,0.00021244,9.8114e-05
0.138,1,0,0.00026565,7.0572e-05,0.00058839,0.00013647
