t,u,y,yT
0,12,0,0
0.01,12,0.00058045,0.00058045
0.02,12,0.002247,0.002247
0.03,12,0.0048949,0.0048949
0.04,12,0.0084286,0.0084286
0.05,12,0.012761,0.012761
0.06,12,0.017811,0.017811
0.07,12,0.023508,0.023508
0.08,12,0.029784,0.029784
0.09,12,0.03658,0.03658
0.1,12,0.043839,0.043839
0.11,12,0.051512,0.051512
0.12,12,0.059552,0.059552
0.13,12,0.067918,0.067918
0.14,12,0.076572,0.076572
0.15,12,0.085478,0.085478
0.16,12,0.094606,0.094606
0.17,12,0.10393,0.10393
0.18,12,0.11341,0.11341
0.19,12,0.12304,0.12304
0.2,12,0.13279,0.13279
0.21,12,0.14264,0.14264
0.22,12,0.15257,0.15257
0.23,12,0.16256,0.16256
0.24,12,0.17261,0.17261
0.25,12,0.1827,0.1827
0.26,12,0.19281,0.19281
0.27,12,0.20294,0.20294
0.28,12,0.21307,0.21307
0.29,12,0.22319,0.22319
0.3,12,0.23331,0.23331
0.31,12,0.2434,0.2434
0.32,12,0.25347,0.25347
0.33,12,0.2635,0.2635
0.34,12,0.27349,0.27349
0.35,12,0.28344,0.28344
0.36,12,0.29335,0.29335
0.37,12,0.3032,0.3032
0.38,12,0.31299,0.31299
0.39,12,0.32273,0.32273
0.4,12,0.33241,0.33241
0.41,12,0.34202,0.34202
0.42,12,0.35157,0.35157
0.43,12,0.36105,0.36105
0.44,12,0.37046,0.37046
0.45,12,0.37979,0.37979
0.46,12,0.38906,0.38906
0.47,12,0.39826,0.39826
0.48,12,0.40737,0.40737
0.49,12,0.41642,0.41642
0.5,12,0.42539,0.42539
0.51,12,0.43428,0.43428
0.52,12,0.4431,0.4431
0.53,12,0.45184,0.45184
0.54,12,0.4605,0.4605
0.55,12,0.46909,0.46909
0.56,12,0.4776,0.4776
0.57,12,0.48603,0.48603
0.58,12,0.49439,0.49439
0.59,12,0.50267,0.50267
0.6,12,0.51087,0.51087
0.61,12,0.519,0.519
0.62,12,0.52705,0.52705
0.63,12,0.53502,0.53502
0.64,12,0.54292,0.54292
0.65,12,0.55074,0.55074
0.66,12,0.5585,0.5585
0.67,12,0.56617,0.56617
0.68,12,0.57377,0.57377
0.69,12,0.5813,0.5813
0.7,12,0.58876,0.58876
0.71,12,0.59615,0.59615
0.72,12,0.60346,0.60346
0.73,12,0.6107,0.6107
0.74,12,0.61788,0.61788
0.75,12,0.62498,0.62498
0.76,12,0.63201,0.63201
0.77,12,0.63898,0.63898
0.78,12,0.64587,0.64587
0.79,12,0.6527,0.6527
0.8,12,0.65946,0.65946
0.81,12,0.66616,0.66616
0.82,12,0.67279,0.67279
0.83,12,0.67935,0.67935
0.84,12,0.68585,0.68585
0.85,12,0.69229,0.69229
0.86,12,0.69866,0.69866
0.87,12,0.70497,0.70497
0.88,12,0.71122,0.71122
0.89,12,0.71741,0.71741
0.9,12,0.72353,0.72353
0.91,12,0.72959,0.72959
0.92,12,0.7356,0.7356
0.93,12,0.74154,0.74154
0.94,12,0.74743,0.74743
0.95,12,0.75325,0.75325
0.96,12,0.75902,0.75902
0.97,12,0.76474,0.76474
0.98,12,0.77039,0.77039
0.99,12,0.77599,0.77599
1,12,0.78153,0.78153
1.01,12,0.78702,0.78702
1.02,12,0.79246,0.79246
1.03,12,0.79784,0.79784
1.04,12,0.80317,0.80317
1.05,12,0.80844,0.80844
1.06,12,0.81366,0.81366
1.07,12,0.81883,0.81883
1.08,12,0.82395,0.82395
1.09,12,0.82902,0.82902
1.1,12,0.83404,0.83404
1.11,12,0.839,0.839
1.12,12,0.84392,0.84392
1.13,12,0.84879,0.84879
1.14,12,0.85361,0.85361
1.15,12,0.85838,0.85838
1.16,12,0.86311,0.86311
1.17,12,0.86779,0.86779
1.18,12,0.87242,0.87242
1.19,12,0.87701,0.87701
1.2,12,0.88155,0.88155
1.21,12,0.88604,0.88604
1.22,12,0.89049,0.89049
1.23,12,0.8949,0.8949
1.24,12,0.89926,0.89926
1.25,12,0.90358,0.90358
1.26,12,0.90785,0.90785
1.27,12,0.91209,0.91209
1.28,12,0.91628,0.91628
1.29,12,0.92043,0.92043
1.3,12,0.92454,0.92454
1.31,12,0.9286,0.9286
1.32,12,0.93263,0.93263
1.33,12,0.93662,0.93662
1.34,12,0.94057,0.94057
1.35,12,0.94447,0.94447
1.36,12,0.94834,0.94834
1.37,12,0.95217,0.95217
1.38,12,0.95597,0.95597
1.39,12,0.95972,0.95972
1.4,12,0.96344,0.96344
1.41,12,0.96712,0.96712
1.42,12,0.97076,0.97076
1.43,12,0.97437,0.97437
1.44,12,0.97794,0.97794
1.45,12,0.98148,0.98148
1.46,12,0.98498,0.98498
1.47,12,0.98845,0.98845
1.48,12,0.99188,0.99188
1.49,12,0.99527,0.99527
1.5,12,0.99864,0.99864
1.51,12,1.002,1.002
1.52,12,1.0053,1.0053
1.53,12,1.0085,1.0085
1.54,12,1.0118,1.0118
1.55,12,1.015,1.015
1.56,12,1.0181,1.0181
1.57,12,1.0213,1.0213
1.58,12,1.0244,1.0244
1.59,12,1.0274,1.0274
1.6,12,1.0305,1.0305
1.61,12,1.0335,1.0335
1.62,12,1.0365,1.0365
1.63,12,1.0394,1.0394
1.64,12,1.0424,1.0424
1.65,12,1.0453,1.0453
1.66,12,1.0481,1.0481
1.67,12,1.051,1.051
1.68,12,1.0538,1.0538
1.69,12,1.0566,1.0566
1.7,12,1.0593,1.0593
1.71,12,1.062,1.062
1.72,12,1.0647,1.0647
1.73,12,1.0674,1.0674
1.74,12,1.0701,1.0701
1.75,12,1.0727,1.0727
1.76,12,1.0753,1.0753
1.77,12,1.0778,1.0778
1.78,12,1.0804,1.0804
1.79,12,1.0829,1.0829
1.8,12,1.0854,1.0854
1.81,12,1.0879,1.0879
1.82,12,1.0903,1.0903
1.83,12,1.0927,1.0927
1.84,12,1.0951,1.0951
1.85,12,1.0975,1.0975
1.86,12,1.0998,1.0998
1.87,12,1.1021,1.1021
1.88,12,1.1044,1.1044
1.89,12,1.1067,1.1067
1.9,12,1.109,1.109
1.91,12,1.1112,1.1112
1.92,12,1.1134,1.1134
1.93,12,1.1156,1.1156
1.94,12,1.1178,1.1178
1.95,12,1.1199,1.1199
1.96,12,1.122,1.122
1.97,12,1.1241,1.1241
1.98,12,1.1262,1.1262
1.99,12,1.1283,1.1283
2,12,1.1303,1.1303
2.01,12,1.1324,1.1324
2.02,12,1.1344,1.1344
2.03,12,1.1363,1.1363
2.04,12,1.1383,1.1383
2.05,12,1.1402,1.1402
2.06,12,1.1422,1.1422
2.07,12,1.1441,1.1441
