t,u,y,yT
0,-3.8554e-16,-0.00074363,-0.00079868
0.002,1.1997,-0.0010402,-0.0010608
0.004,2.3974,-0.0013351,-0.0012963
0.006,3.5914,-0.0016279,-0.0015479
0.008,4.7795,-0.001918,-0.0021221
0.01,5.9601,-0.0022051,-0.0022785
0.012,7.1311,-0.0024887,-0.0023809
0.014,8.2907,-0.0027682,-0.0035796
0.016,9.437,-0.0030434,-0.0037869
0.018,10.568,-0.0033137,-0.0035896
0.02,11.683,-0.0035787,-0.0035559
0.022,12.778,-0.0038379,-0.003082
0.024,13.853,-0.004091,-0.0047851
0.026,14.906,-0.0043376,-0.0043178
0.028,15.936,-0.0045773,-0.0047222
0.03,16.939,-0.0048096,-0.0042468
0.032,17.916,-0.0050342,-0.0054304
0.034,18.864,-0.0052507,-0.00559
0.036,19.782,-0.0054589,-0.0054489
0.038,20.668,-0.0056583,-0.0061134
0.04,21.521,-0.0058487,-0.0055752
0.042,22.339,-0.0060297,-0.006077
0.044,23.122,-0.0062011,-0.006203
0.046,23.868,-0.0063626,-0.0075287
0.048,24.576,-0.0065139,-0.0067725
0.05,25.244,-0.0066547,-0.0072527
0.052,25.872,-0.0067849,-0.0077279
0.054,26.459,-0.0069043,-0.0060223
0.056,27.003,-0.0070126,-0.0077725
0.058,27.504,-0.0071097,-0.0074034
0.06,27.961,-0.0071954,-0.0077297
0.062,28.374,-0.0072696,-0.0068249
0.064,28.74,-0.0073322,-0.0079888
0.066,29.061,-0.007383,-0.0082803
0.068,29.336,-0.0074221,-0.0076282
0.07,29.563,-0.0074492,-0.0081241
0.072,29.744,-0.0074645,-0.0067613
0.074,29.876,-0.0074678,-0.0078767
0.076,29.961,-0.0074591,-0.007893
0.078,29.998,-0.0074385,-0.0057537
0.08,29.987,-0.0074061,-0.0090662
0.082,29.928,-0.0073617,-0.0080945
0.084,29.821,-0.0073056,-0.0072331
0.086,29.667,-0.0072378,-0.0074243
0.088,29.465,-0.0071585,-0.0067127
0.09,29.215,-0.0070677,-0.0076149
0.092,28.919,-0.0069655,-0.0064159
0.094,28.577,-0.0068523,-0.0064511
0.096,28.189,-0.006728,-0.0064993
0.098,27.756,-0.006593,-0.0053
0.1,27.279,-0.0064475,-0.0065961
0.102,26.758,-0.0062916,-0.0057256
0.104,26.194,-0.0061257,-0.0055155
0.106,25.588,-0.00595,-0.0062353
0.108,24.942,-0.0057647,-0.0063019
0.11,24.255,-0.0055703,-0.0062103
0.112,23.529,-0.0053669,-0.0050517
0.114,22.766,-0.0051549,-0.0058927
0.116,21.967,-0.0049347,-0.0048246
