t,u,y,yT
0,-5.9744,-0.00074363,-0.00052487
0.002,4.7916,-0.001637,-0.0013026
0.004,15.533,-0.0025249,-0.0025323
0.006,26.186,-0.003403,-0.0037803
0.008,36.689,-0.0042672,-0.005381
0.01,46.98,-0.0051133,-0.0056419
0.012,56.999,-0.0059373,-0.0066031
0.014,66.688,-0.0067352,-0.0065505
0.016,75.99,-0.0075033,-0.006703
0.018,84.852,-0.008238,-0.0058278
0.02,93.221,-0.0089359,-0.0094421
0.022,101.05,-0.0095939,-0.0076923
0.024,108.29,-0.010209,-0.0061735
0.026,114.91,-0.010778,-0.012723
0.028,120.87,-0.011299,-0.011164
0.03,126.12,-0.01177,-0.012481
0.032,130.65,-0.012189,-0.010087
0.034,134.44,-0.012554,-0.01215
0.036,137.45,-0.012863,-0.013109
0.038,139.68,-0.013117,-0.017521
0.04,141.11,-0.013314,-0.014636
0.042,141.75,-0.013453,-0.012016
0.044,141.58,-0.013536,-0.012934
0.046,140.62,-0.013562,-0.011283
0.048,138.88,-0.013531,-0.015738
0.05,136.36,-0.013445,-0.012651
0.052,133.1,-0.013306,-0.015971
0.054,129.1,-0.013113,-0.012537
0.056,124.41,-0.01287,-0.012662
0.058,119.05,-0.012578,-0.010525
0.06,113.06,-0.01224,-0.010752
0.062,106.49,-0.011858,-0.013827
0.064,99.363,-0.011435,-0.01319
0.066,91.743,-0.010974,-0.01085
0.068,83.675,-0.010478,-0.012317
0.07,75.213,-0.0099509,-0.010345
0.072,66.412,-0.0093958,-0.0074735
0.074,57.328,-0.0088165,-0.0075897
0.076,48.021,-0.0082165,-0.0072578
0.078,38.551,-0.0075998,-0.0071848
0.08,28.978,-0.0069701,-0.0071819
0.082,19.363,-0.0063314,-0.0065055
0.084,9.7682,-0.0056875,-0.0051312
0.086,0.25382,-0.0050422,-0.0052794
0.088,-9.1198,-0.0043995,-0.0037183
0.09,-18.294,-0.0037629,-0.0039407
0.092,-27.211,-0.0031361,-0.0022545
0.094,-35.815,-0.0025227,-0.0024635
0.096,-44.053,-0.0019261,-0.0021891
0.098,-51.873,-0.0013494,-0.0013786
0.1,-59.229,-0.00079564,-0.00096176
0.102,-66.076,-0.00026775,-0.00025744
0.104,-72.371,0.00023166,0.00023839
0.106,-78.077,0.00070021,0.00065301
0.108,-83.162,0.0011357,0.0010898
0.11,-87.595,0.0015364,0.0016954
0.112,-91.351,0.0019004,0.0020107
0.114,-94.41,0.0022266,0.0017163
0.116,-96.756,0.0025138,0.0024795
0.118,-98.377,0.0027612,0.0029724
0.12,-99.268,0.0029684,0.0027487
0.122,-99.427,0.0031352,0.0026576
0.124,-98.857,0.0032616,0.003368
0.126,-97.566,0.0033481,0.0037013
0.128,-95.567,0.0033953,0.0039011
0.13,-92.878,0.0034042,0.0046702
0.132,-89.521,0.003376,0.0039385
0.134,-85.522,0.0033122,0.0035515
0.136,-80.911,0.0032146,0.0034893
0.138,-75.725,0.003085,0.0034639
0.14,-70,0.0029257,0.0031928
0.142,-63.779,0.0027392,0.0026268
0.144,-57.108,0.0025279,0.0018666
0.146,-50.034,0.0022947,0.0023011
0.148,-42.608,0.0020425,0.001588
0.15,-34.884,0.0017742,0.0017257
0.152,-26.916,0.0014931,0.0013791
0.154,-18.762,0.0012024,0.0011714
0.156,-10.479,0.00090542,0.0011222
0.158,-2.1254,0.0006054,0.00071396
0.16,6.2389,0.00030574,0.00039613
0.162,14.555,9.7547e-06,9.1475e-06
0.164,22.764,-0.00027924,-0.000204
0.166,30.807,-0.00055799,-0.00066652
0.168,38.628,-0.00082334,-0.00088237
0.17,46.17,-0.0010722,-0.0011014
0.172,53.38,-0.0013017,-0.0010527
0.174,60.207,-0.0015089,-0.0015266
0.176,66.601,-0.0016913,-0.0014688
0.178,72.515,-0.0018464,-0.0017934
0.18,77.907,-0.001972,-0.0017504
0.182,82.738,-0.0020659,-0.0019013
0.184,86.97,-0.0021265,-0.0026486
0.186,90.572,-0.0021521,-0.0027929
0.188,93.516,-0.0021415,-0.0019692
0.19,95.778,-0.0020936,-0.0019282
0.192,97.34,-0.0020077,-0.002218
0.194,98.186,-0.0018833,-0.0021099
0.196,98.308,-0.0017202,-0.0013125
0.198,97.7,-0.0015186,-0.0013409
0.2,96.361,-0.0012788,-0.0010594
0.202,94.298,-0.0010015,-0.001071
0.204,91.519,-0.00068763,-0.00082023
0.206,88.038,-0.00033855,-0.00031946
0.208,83.874,4.4263e-05,4.8299e-05
0.21,79.052,0.00045901,0.00040795
0.212,73.599,0.00090363,0.0008428
0.214,67.546,0.0013758,0.0016396
0.216,60.931,0.0018731,0.0019291
0.218,53.793,0.0023927,0.0025924
0.22,46.176,0.0029316,0.0033188
0.222,38.127,0.0034869,0.0029304
0.224,29.695,0.0040551,0.0045677
0.226,20.934,0.0046329,0.0041072
